title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"The Best American Crime Reporting 2009: Edited by CNN's Jeffrey Toobin―Gripping True Crime Journalism on Murder and Fraud","Otto Penzler & Thomas H. Cook","2009-08-27T03:00:00-04:00","History, Crime, Anthologies, True Crime, Science","3.92","315","102078","308","483175","Ecco"
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World From the Periodic Table of the Elements","Sam Kean","2010-01-01T03:00:00-05:00","History, Science","3.92","56439","107925","341","1081546","Little, Brown and Company"
"Henry Clay: The Essential American","David Stephen Heidler & Jeanne T. Heidler","2010-05-04T03:00:00-04:00","Autobiography, History, Biography, Politics","3.97","3772","292017","931","8010246","Random House"
"The Ramayana: A Shortened Modern Prose Version of the Indian Epic","R. K. Narayan","1957-01-01T03:00:00-05:00","History, Classics, Fantasy, Non-Fiction, Spirituality, Philosophy, Poetry","4.07","12914","60959","188","482033","Penguin"
"Moby Dick","Herman Melville","1851-10-18T02:56:56-04:56:02","Classics, Historical, Fiction, Literary, Psychological fiction, Psychological, Action, Adventure, Thrillers","3.57","616492","217472","700","2236816","William Collins"
"The Lost Days","Rob Reger & Jessica Gruner","2002-11-21T03:00:00-05:00","Fantasy, Humour, Childrens, Comics, Fiction:Young Adult, Mystery, Young Adult","3.9","7566","44425","156","3838564","HarperCollins"
"Stranger and Stranger","Rob Reger & Jessica Gruner","2005-09-08T03:00:00-04:00","Fantasy, Childrens, Humour, Paranormal, Fiction:Young Adult, Mystery, Young Adult","3.96","3363","47700","123","2192168","HarperCollins"
"The Far Side of the World","Patrick O'Brian","1984-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.45","13760","127746","382","427469","HarperCollins"
"Blue at the Mizzen","Patrick O'Brian","1999-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.41","8597","87187","272","339218","HarperCollins Audio"
"The Ionian Mission","Patrick O'Brian","1981-01-15T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.32","12116","126040","378","426308","HarperCollins"
"Post Captain","Patrick O'Brian","1972-01-01T03:00:00-05:00","Adventure, Fiction:Historical, Classics, Historical, War","4.26","25370","166891","525","521485","Harper Collins"
"Master and Commander","Patrick O'Brian","1969-01-01T03:00:00-05:00","Adventure, Fiction:Historical, Classics, Historical, War","4.07","63810","140517","447","465455","HarperCollins"
"The Commodore","Patrick O'Brian","1994-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.43","9628","107521","331","371925","W. W. Norton"
"Desolation Island","Patrick O'Brian","1978-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.41","16434","112513","334","381292","HarperCollins Publishers Limited"
"The Yellow Admiral","Patrick O'Brian","1996-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.37","9427","93741","290","350598","Harper"
"The Nutmeg of Consolation","Patrick O'Brian","1991-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.42","10531","115915","359","394210","HarperCollins Publishers Ltd."
