title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"Exit Wounds","J. A. Jance","2003-07-22T03:00:00-04:00","Suspense, Crime, Contemporary, Mystery, Thriller","4.07","7529","98802","365","396713","Avon"
"Day of the Dead","J. A. Jance","2004-01-01T03:00:00-05:00","Mystery, Suspense, Crime, Thriller","3.8","2885","109227","379","431852","Harper"
"Middlesex","Jeffrey Eugenides","2002-09-04T03:00:00-04:00","Contemporary, Fiction, Classics, Adult, Gay, Historical","4.04","652919","195643","518","588834","Knopf Canada"
"Magyk","Angie Sage","2005-05-11T03:00:00-04:00","Fantasy, Fiction:Young Adult, Young Adult, Adventure, Childrens","3.86","125150","137413","476","2091139","Turtleback Books"
"Water for Elephants","Sara Gruen","2006-05-22T03:00:00-04:00","Fiction, Adult, Romance, Contemporary, Historical","4.11","1670075","107844","245","1971301","Algonquin Books"
"That Awful Mess on the via Merulana","Carlo Emilio Gadda","1957-06-01T03:00:00-04:00","Political, Fiction, Literary, Crime","3.6","3703","115749","338","429001","NYRB Classics"
"Castle to Castle","Louis-Ferdinand Céline","1957-01-01T03:00:00-05:00","Fiction, Literary, General, Europe, Places, Historical","3.79","1480","121352","412","472883","Dalkey Archive Press"
"The Memory Keeper's Daughter","Kim Edwards","2005-06-23T03:00:00-04:00","Adult, Contemporary, Historical, Fiction","3.7","612196","139344","458","666513","Penguin Books"
"The Further Adventures of Robinson Crusoe","Daniel Defoe","1719-01-01T03:03:58-04:56:02","Fiction, Science Fiction, General, Romance, Classics, Literary, Action, Adventure","3.86","6334","100816","263","266735","Serenity Publishers, LLC"
"Robinson Crusoe","Daniel Defoe","1719-04-25T03:03:58-04:56:02","Fiction, Childrens, Adventure, Young Adult, Classics, Historical","3.68","321466","128736","343","824833","Simon & Schuster"
"Moll Flanders","Daniel Defoe","1722-01-01T03:03:58-04:56:02","Fiction, Adult, Romance, Adventure, Classics, Historical","3.51","47784","153056","434","528988","Random House Publishing Group"
"Cheever: A Life","Blake Bailey","2009-01-01T03:00:00-05:00","Autobiography, Biography, History, Writing","4.18","735","309332","750","6638244","Knopf"
"The Wives of Henry Oades","Johanna Moran","2010-01-01T03:00:00-05:00","Fiction, Historical, General, Literary, Family Life","3.62","2913","95004","357","811200","Thorpe"
"The Battle for Iwo Jima","Robert Leckie","1967-12-28T03:00:00-05:00","History, Music, War","3.96","269","21156","70","163542","ibooks"
"Challenge for the Pacific: Guadalcanal: The Turning Point of the War","Robert Leckie","1965-01-01T03:00:00-05:00","History, Biography, War","4.42","612","121758","416","1878194","Random House Publishing Group"
"Okinawa: The Last Battle of World War II","Robert Leckie","1995-05-25T03:00:00-04:00","History, War","4.07","1657","59069","206","204225","Paw Prints"
"The Fourth Man","K. O. Dahl & Kjell Ola Dahl","2005-01-01T03:00:00-05:00","Police Procedural, Fiction, International Crime, Mystery, World Literature, Crime, Thrillers, Noir, Police, General, Suspense, Detective","3.61","1845","80433","314","374289","Macmillan"
"Delta of Venus","Anaïs Nin","1977-01-01T03:00:00-05:00","Short Stories, Romance, Adult, Feminism, Classics","3.6","25565","92127","233","348647","Bantam"
"Invisible Man","Ralph Ellison","1952-04-14T03:00:00-05:00","History, Classics, Politics, Science Fiction, Fiction, Adult, Historical","3.92","203025","176779","625","433925","Vintage"
"You Dreamed of Empires","Álvaro Enrigue","2022-10-13T03:00:00-04:00","Historical, Fiction, Fantasy, History, Adult","3.79","8791","55638","163","1405024","Riverhead"
"Rabbit at Rest","John Updike","1990-12-18T03:00:00-05:00","Sagas, Classics, Contemporary, Psychological, Fiction, Literary","4.01","16452","187832","679","491697","Alfred A. Knopf"
"The Maples Stories","John Updike","1980-06-01T03:00:00-04:00","Fiction, General, Family Life, Short Stories (Single Author), Literary","4.01","1179","57723","191","285222","Everyman's Library"
"Rabbit, Run","John Updike","1960-01-01T03:00:00-05:00","Fiction, General, Classics, Literary, Psychological","3.59","62110","102240","327","282036","Penguin Books"
"My Father's Tears: And Other Stories","John Updike","2006-02-19T03:00:00-05:00","Contemporary, Fiction","3.71","1560","85628","262","333920","Random House Publishing Group"
"Rabbit Is Rich","John Updike","1981-01-01T03:00:00-05:00","Romance, Classics, General, Contemporary, Psychological, Fiction, Literary","3.93","17922","168715","628","440046","Fawcett"
"Rabbit Redux","John Updike","1971-01-01T03:00:00-05:00","Fiction, General, Literary Criticism, Classics, Literary, Psychological","3.81","16164","130885","469","343627","Penguin Books"
"A Separate War and Other Stories","Joe Haldeman","2006-08-01T03:00:00-04:00","Science-Fiction, Fantasy, Science Fiction, War, read_author","3.65","642","13778","44","83116","Ace"
"Starbound","Joe Haldeman","2009-12-09T03:00:00-05:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.53","1716","75822","282","302335","Ace Hardcover"
"Forever Free","Joe Haldeman","1999-12-01T03:00:00-05:00","Science-Fiction, Fantasy, Science Fiction, War, read_author","3.47","8641","63861","230","238210","Demco Media"
"Evicted: Poverty and Profit in the American City","Matthew Desmond","2016-03-01T03:00:00-05:00","Urban, Social Science, POLITICAL SCIENCE, Public Policy, General, Sociology, Non-Fiction, Politics, History","4.47","106880","138354","444","4940914","Crown"
"Woodrow Wilson: A Biography","John Milton Cooper Jr.","2009-11-03T03:00:00-05:00","History, Politics, War, Biography","3.81","6479","313254","794","3475964","Knopf"
"Lasso the Wind: Away to the New West","Timothy Egan","1998-01-01T03:00:00-05:00","Travel, History","4.18","1139","108769","314","640114","Vintage"
"The Council of Dads: My Daughters, My Illness, and the Men Who Could Be Me","Bruce Feiler","2010-01-01T03:00:00-05:00","Contemporary, Biography, Adult, Autobiography","3.84","2072","53139","171","574410","William Morrow"
"The Big Short: Inside the Doomsday Machine","Michael Lewis","2010-03-15T03:00:00-04:00","Business, History, Politics, Biography","4.3","166383","93256","265","274885","W. W. Norton & Company"
"CivilWarLand in Bad Decline","George Saunders","1996-01-16T03:00:00-05:00","Science Fiction, Satire, Fiction, Literary, Fantasy, bookclub, Humour, read_author, Contemporary, Short Stories (Single Author)","4.21","22674","68356","225","1832938","Random House Trade Paperbacks"
"Vigil","George Saunders","2026-01-27T03:00:00-05:00","Adult, Fantasy, bookclub, read_author, Contemporary","3.49","13442","44579","188","2230884","Bloomsbury Publishing"
"Lincoln in the Bardo","George Saunders","2017-02-14T03:00:00-05:00","Biographical, Fiction, Literary, General, Fantasy, bookclub, Ghost, read_author, Historical","3.75","179995","60584","320","675750","Bloomsbury Publishing"
"Bridge to Terabithia","Katherine Paterson","1977-10-21T03:00:00-04:00","Childrens, Young Adult, Classics, Contemporary, Fantasy, Children's Books","4.06","573702","32990","115","112248","Avon"
"The Emissary","Yōko Tawada","2014-10-31T03:00:00-04:00","Science Fiction, Fairy Tales; Folk Tales; Legends, Mythology, Fiction, Magical Realism, Dystopian, bookclub, World Literature, read_author, Japan","3.4","14065","39838","119","656405","New Directions"
"Dragons of Spring Dawning","Margaret Weis","1985-09-12T03:00:00-04:00","Adventure, Science Fiction, Young Adult, Fantasy, General, Juvenile Fiction, Magic, Fiction, Animals","4.14","61387","129819","451","3227545","TSR"
"To Kill a Mockingbird","Harper Lee","1960-07-11T04:00:00-04:00","Fiction, Adult, Young Adult, Classics, Historical","4.26","6587272","100081","358","264601","HarperCollins"
"Ra","qntm & Sam Hughes","2014-12-13T03:00:00-05:00","Contemporary, Fantasy, Fiction, Science Fiction","4.09","2691","141644","506","418845","NA"
"Valuable Humans in Transit and Other Stories","qntm","2022-02-15T14:18:19-05:00","999, Anthologies, Fantasy, Horror, Science Fiction","4.26","2808","22093","84","149352","qntm"
"Carpe Demon","Julie Kenner","2005-06-27T03:00:00-04:00","Fantasy, Romance, Humour, Mystery, Paranormal","3.68","6551","93278","341","464852","Jove"
"Fine Structure","qntm","2010-02-02T03:00:00-05:00","Fiction, General, Science Fiction","4.04","1711","113392","377","431673","qntm"
"Crime and Punishment","Fyodor Dostoevsky","1866-01-01T02:56:56-04:56:02","Psychology, Classics, Mystery, Historical, Philosophy, Crime, Adult, Fiction, read_author","4.29","1082758","217862","686","1020347","Oxford University Press"
"The Karamazov Brothers","Fyodor Dostoevsky","1880-01-01T02:56:56-04:56:02","Psychology, Classics, Mystery, Historical, Philosophy, Religion, Crime, Adult, Fiction, read_author","4.39","387146","399726","1211","889607","Oxford University Press"
"Schrödinger's Cat Trilogy","Robert Anton Wilson","1981-01-01T03:00:00-05:00","Science Fiction, Science, Humour, Fantasy, Science-Fiction, Philosophy","4.08","4850","135155","461","837056","Dell Publishing"
"The Social Transformation of American Medicine: The Rise of a Sovereign Profession and the Making of a Vast Industry","Paul Starr","1982-01-01T03:00:00-05:00","Politics, Science, Sociology, History, Health","4.17","1420","222550","795","747861","Basic Books"
"Reinventing the Body, Resurrecting the Soul: How to Create a New You","Deepak Chopra","2009-10-13T03:00:00-04:00","Health, Psychology, Religion, Self Help, Spirituality, Philosophy, Self-Help","3.86","4016","93360","236","439547","Harmony"
"Confessions of Nat Turner","Nat Turner","2013-07-01T03:00:00-04:00","American, Literary Criticism, African American, Black, Literary Collections","3.87","841","159138","445","1347229","Simon and Schuster"
"Started Early, Took My Dog","Kate Atkinson","2010-01-01T03:00:00-05:00","Crime, Thriller, Fiction, Suspense, Contemporary, Mystery","3.93","48811","118360","393","459449","Reagan Arthur Books"
"Michael Jackson: The Magic, the Madness, the Whole Story","J. Randy Taraborrelli","1992-01-09T03:00:00-05:00","Autobiography, Biography, Music","4.13","3339","275486","881","4478009","Sidgwick & Jackson"
"The Secret Life of Marilyn Monroe","J. Randy Taraborrelli","2009-08-25T03:00:00-04:00","Biography, Autobiography, Women, Entertainment, Performing Arts","4.08","5388","194499","549","4565650","Pan"
"Darkside","Belinda Bauer","2011-01-06T03:00:00-05:00","Police Procedural, Fiction, Mystery Fiction, Mystery, Murder, Crime, Thrillers, Police, General, Thriller, Suspense, Detective, Suspense fiction","3.73","4233","96734","363","576424","Simon &amp; Schuster"
"Binary","Michael Crichton","1993-09-02T03:00:00-04:00","Fiction:Thriller, Thriller, Science Fiction, Crime, Mystery, Adventure, Suspense","3.62","4795","38207","171","106035","Arrow"
"Jurassic Park","Michael Crichton","1990-11-07T03:00:00-05:00","Science Fiction, Thriller, Horror, Fantasy, Adventure, Classics, Adult","4.12","1011725","128844","354","343837","Ballantine Books"
"The Andromeda Strain","Michael Crichton","1969-09-01T03:00:00-04:00","Science Fiction, Thriller, Horror, Mystery, Fantasy, Suspense, Science, Classics, Adult","3.91","264646","67394","287","207262","Avon"
"A Case of Need","Michael Crichton & Jeffrey Hudson","1994-06-15T03:00:00-04:00","Fiction:Thriller, Thriller, Science Fiction, Crime, Mystery, Suspense, Adult","3.75","39691","87737","203","265937","Signet"
"Disclosure","Michael Crichton","1994-01-01T03:00:00-05:00","Suspense, Crime, Science Fiction, Contemporary, Mystery, Adventure, Thriller","3.8","74727","112226","464","397396","Alfred A. Knopf"
"Eaters of the Dead","Michael Crichton","1976-03-12T03:00:00-05:00","Thriller, Science Fiction, Historical, Fiction, Science-Fiction, Adventure, Horror, Fantasy","3.71","44961","53532","135","150439","Harper"
"Congo","Michael Crichton","1980-01-01T03:00:00-05:00","Thriller, Science Fiction, Fiction:Thriller, Mystery, Adventure, Suspense, Adult, Horror, Fantasy","3.63","175738","85749","235","276703","Avon"
"Airframe","Michael Crichton","1996-01-02T03:00:00-05:00","General, Fiction:Thriller, Fiction, Thrillers, Suspense, Action, Adventure, Psychological","3.74","87408","97421","429","290142","Ballantine Books"
"Timeline","Michael Crichton","1999-11-16T03:00:00-05:00","Science Fiction, Thriller, Historical, Fantasy, Adventure, Suspense","3.87","212522","144278","564","908770","Arrow Books"
"The Ghosts of Cannae: Hannibal and the Darkest Hour of the Roman Republic","Robert L. O'Connell","2010-07-13T03:00:00-04:00","History, War","4.08","2819","117268","358","950580","Random House (NYC)"
"Firefox","Craig Thomas","1980-01-01T03:00:00-05:00","Science Fiction, Suspense, Adventure, Thriller, bookclub, read_author, War","3.94","6174","92702","309","803410","MysteriousPress.com/Open Road"
"The Book of Imaginary Beings","Jorge Luis Borges","1957-03-30T03:00:00-05:00","Fantasy, Classics, Reference, read_author","4.05","9824","44155","217","1693889","Penguin Classics"
"The Aleph and Other Stories 1933-1969","Jorge Luis Borges","1945-01-01T03:00:00-04:00","Philosophy, Fiction, Magical Realism, Literary, Fantasy, bookclub, Classics, read_author, Contemporary, Short Stories (Single Author)","4.32","50265","70377","259","479879","E.P. Dutton"
"Selected Non-Fictions","Jorge Luis Borges","1999-01-01T03:00:00-05:00","Essays, Literary Collections, Literary Criticism, General, read_author","4.44","2366","225662","839","1965573","Viking"
"Book of Shadows","Alexandra Sokoloff","2010-01-01T03:00:00-05:00","Horror, Suspense, Fantasy, Mystery, Paranormal, Thriller","3.78","1785","92780","341","352158","St. Martin's Press"
"Good Material","Dolly Alderton","2023-11-07T00:10:46-05:00","Fiction, General, Humorous, Romance, Contemporary, Women, Friendship, Performing Arts","3.85","194423","95336","339","766729","Penguin"
"The Book of Three","Lloyd Alexander","1964-03-12T03:00:00-05:00","Animals, Legends; Myths; Fables, General, Fantasy, Magic, Family, Action, Adventure, Fiction:Young Adult, Juvenile Fiction","3.98","81480","47552","164","207487","Macmillan"
"The Black Cauldron","Lloyd Alexander","1965-08-05T04:00:00-04:00","Childrens, Science Fiction, Adventure, Young Adult, Classics, Fantasy, Fiction:Young Adult","4.12","65892","47935","167","210729","Macmillan"
"Taran Wanderer","Lloyd Alexander","1967-08-24T03:00:00-04:00","Legends; Myths; Fables, General, Fantasy, Magic, Classics, Action, Adventure, Fiction:Young Adult, Humorous Stories, Juvenile Fiction","4.14","42695","57694","190","222221","Macmillan"
"The High King","Lloyd Alexander","1968-04-15T05:06:58-05:00","Legends; Myths; Fables, General, Fantasy, Magic, Classics, Action, Adventure, Fiction:Young Adult, Social Themes, Juvenile Fiction","4.24","55668","66583","218","254804","Macmillan"
"Hellboy: The God Machine","Thomas E. Sniegoski","2006-07-25T03:00:00-04:00","Horror, Comics, Science Fiction, Fantasy, Mystery, Paranormal","4.41","1595","80445","298","412307","Pocket Star"
"Drive Me Crazy","Eric Jerome Dickey","2004-11-12T03:00:00-05:00","Romance, Contemporary, Suspense, Fiction","4.07","2914","109264","454","367906","Thorndike Press"
"Liar's Game","Eric Jerome Dickey","2000-06-26T03:00:00-04:00","Romance, Contemporary, Adult, Fiction","4.09","3471","111759","457","376940","Penguin Publishing Group"
"The Man Who Recorded the World: A Biography of Alan Lomax","John F. Szwed","2010-01-01T03:00:00-05:00","History, Biography, Non-Fiction, Science, Music","3.85","471","214807","621","783628","William Heinemann"
"Gentlemen Prefer Blondes","Anita Loos","1925-11-15T03:00:00-05:00","Fiction:Humor, Classics, Humour, Romance","3.61","7404","38908","96","178450","Pearson Education ESL"
"Fragment","Warren Fahy","2009-01-01T03:00:00-05:00","Science Fiction, Adventure, Fiction:Suspense, Fantasy, Suspense, Thriller, Horror, Mystery","3.69","5420","103064","416","1801917","Delacorte Press"
"The Gun","C. J. Chivers","2010-10-12T03:00:00-04:00","Politics, History, Biography, War","3.99","2192","201416","506","5233713","Simon & Schuster"
"The Chrysalids","John Wyndham","1955-01-01T03:00:00-05:00","Science Fiction, Fantasy, Science-Fiction, Classics, Young Adult","3.93","62368","69274","240","188839","NYRB Classics"
"The Midwich Cuckoos","John Wyndham","1957-01-01T03:00:00-05:00","Science Fiction, Science-Fiction, Fantasy, Horror, Classics","3.9","29732","67659","235","328379","Penguin Books"
"The Day of the Triffids","John Wyndham & Samuel West","1951-12-01T03:00:00-05:00","Science Fiction, Horror, Fantasy","4.01","113247","79177","259","333519","Modern Library"
"Killer in the Rain","Raymond Chandler","1964-01-01T03:00:00-05:00","Mystery, Classics, Crime, Thriller","3.76","2201","16877","62","72757","Penguin Books, Hamish Hamilton"
"The Lady in the Lake","Raymond Chandler","1943-01-01T03:00:00-04:00","Mystery, Crime, Classics, Thriller","4.06","27317","74577","259","228093","Vintage Crime/Black Lizard"
"Trouble Is My Business","Raymond Chandler","1950-01-01T03:00:00-05:00","Crime, Mystery, Classics, Thriller, Fiction:Detective","4.06","13100","75692","266","194167","Vintage Crime/Black Lizard"
"The High Window","Raymond Chandler","1942-08-17T03:00:00-04:00","Suspense, Mystery, Detective, Classics, Crime, Fiction, Hard-Boiled, Thrillers, General, Thriller","4.04","25560","71426","254","218884","Penguin Books"
"The Simple Art of Murder","Raymond Chandler","1944-01-01T03:00:00-04:00","Mystery, Crime, Non-Fiction, Writing","4.13","6215","128794","452","314808","Vintage Crime/Black Lizard"
"The Little Sister","Raymond Chandler","1949-01-01T02:00:00-05:00","Mystery, Detective, Crime, Fiction, Hard-Boiled, Classics, Private Investigators, Thriller, Noir","3.98","18959","78644","286","233855","Vintage Crime/Black Lizard"
"The Long Goodbye","Raymond Chandler","1953-01-01T03:00:00-05:00","Mystery, Crime, Classics, Thriller","4.19","45559","120862","415","338256","Vintage Crime/Black Lizard"
"The Collected Raymond Chandler","Raymond Chandler","1959-01-01T03:00:00-05:00","Mystery, Anthologies","4.49","91","949566","3312","4074788","McClelland & Stewart"
"One Rough Man","Brad Taylor","2011-02-17T03:00:00-05:00","Fiction, Mystery, Adventure, Thrillers, War, Military, United States, Thriller, Suspense","4.09","17276","135499","456","446761","Dutton"
"Adventures of a Sea Hunter: In Search of Famous Shipwrecks","James P. Delgado","2004-08-04T03:00:00-04:00","History, Travel, Science, Biography, Adventure","3.77","198","77346","222","1951130","Douglas & McIntyre"
"Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100","Michio Kaku","2011-03-15T03:00:00-04:00","History, Science, Philosophy","4.0","18105","148213","427","1129653","Doubleday"
"Life, Liberty, and the Pursuit of Sausages","Tom Holt","2011-01-01T03:00:00-05:00","Contemporary, Science Fiction, Humour, Fantasy","3.77","1701","123589","427","473531","Orbit"
"Anti-Intellectualism in American Life","Richard Hofstadter","1963-02-12T03:00:00-05:00","United States, Social Science, General, History, Sociology","4.12","3396","184852","550","522659","Vintage"
"The Bridge of San Luis Rey","Thornton Wilder","1927-11-01T03:00:00-05:00","Fiction, Family Life, Media Tie-In, Ancient, Drama, General, Literary, bookclub, World Literature, Religious, Christian, Classics, Religion, read_author, Contemporary, American, Historical","3.79","38980","32981","97","284536","Spire Books"
"Brave New World","Aldous Huxley","2006-07-15T03:00:00-04:00","Classics, Science Fiction, Philosophy, Fantasy, Adult, Politics, Science-Fiction, Psychology, Sociology","3.99","1975868","34282","105","164137","HarperCollins Publishers"
"Even Silence Has an End: My Six Years of Captivity in the Colombian Jungle","Ingrid Betancourt","2008-05-01T03:00:00-04:00","Women, Autobiography, Political, Politics, Biography, History, POLITICAL SCIENCE, Political Ideologies","4.0","5069","208694","672","599370","Penguin Press"
"Joker One: A Marine Platoon's Story of Courage, Leadership, and Brotherhood","Donovan Campbell","2009-03-10T03:00:00-04:00","Autobiography, History, Biography, War","4.14","4498","117052","336","565476","Random House"
"The Alexander Cipher","Will Adams","2007-01-01T03:00:00-05:00","Fiction, Adventure, Mystery, Thrillers, Action, Historical, Thriller, Suspense, Suspense fiction","3.6","7186","101224","359","379379","Hachette+ORM"
"The Exodus Quest","Will Adams","2008-01-01T03:00:00-05:00","Thriller, Adventure, Mystery, Historical, Fiction, Suspense","3.71","3325","98514","363","387768","HarperCollins Publishers"
"Martyr","Rory Clements","2009-01-01T03:00:00-05:00","Fiction, Fiction:Suspense, Crime, Thriller, Historical, Mystery","3.82","4079","126212","414","671649","Bantam Books"
"Fifth Avenue, 5 A.M.: Audrey Hepburn, Breakfast at Tiffany's, and the Dawn of the Modern Woman","Sam Wasson","2010-06-22T03:00:00-04:00","History, Autobiography, Performing Arts, Contemporary, Social History, Entertainment, Biography","3.7","7429","64435","194","1729486","Harper"
"Dirt: The Erosion of Civilizations","David R. Montgomery","2007-05-14T03:00:00-04:00","History, Science","4.05","1609","99104","341","2565538","University of California Press"
"The Age of Odin","James Lovegrove","2010-12-28T03:00:00-05:00","Science-Fiction, Science Fiction, Adventure, Fantasy","3.76","1525","130266","479","575499","Solaris"
"Two Trains Running","Andrew Vachss","2005-01-01T03:00:00-05:00","Suspense, Crime, Politics, Mystery, Fiction:Historical, Historical, Thriller","3.61","627","143852","577","378533","Vintage Crime/Black Lizard"
"A World Lit Only by Fire","William Manchester","1992-04-30T03:00:00-04:00","Medieval, Renaissance, History, Europe","3.83","12603","103862","311","3575672","Little, Brown"
"The Phantom of the Opera","Gaston Leroux","1910-01-01T03:00:00-05:00","Fiction, Adult, Romance, Classics, Fantasy, Horror, Historical, Mystery","3.96","263719","99074","326","1895268","Forgotten Books"
"Appetite for Self-Destruction: The Spectacular Crash of the Record Industry in the Digital Age","Steve Knopper","2009-01-06T03:00:00-05:00","Non-Fiction, History, Business, Music","3.83","1142","114070","331","457620","Free Press"
"L.A. Noir: The Struggle for the Soul of America's Most Seductive City","John Buntin","2009-08-25T03:00:00-04:00","History, Crime, Biography, True Crime, Mystery","3.81","2124","168891","431","774298","Crown"
"The Good Son","Michael Gruber","2009-12-24T03:00:00-05:00","Suspense, Fiction:Thriller, Contemporary, Mystery, Thriller","3.79","2359","158779","488","689763","Henry Holt and Co."
"Between a Heart and a Rock Place: A Memoir","Pat Benatar & Patsi Bale Cox","2010-06-15T03:00:00-04:00","Autobiography, Biography, Music","3.81","3138","87336","257","983317","William Morrow"
"The Seamstress","Frances de Pontes Peebles","2008-01-01T03:00:00-05:00","Historical, Adventure, Fiction","4.01","3172","220992","728","927885","Bloomsbury Publishing PLC"
"From Cover to Cover: Evaluating and Reviewing Children's Books","Kathleen T. Horning","1997-03-31T03:00:00-05:00","Adult, Childrens, Reference","3.92","965","63523","194","226507","TN"
"Naked Lunch","William S. Burroughs","1959-07-01T03:00:00-04:00","Literary, French, Psychological, Satire, Fiction, Psychological fiction, Fantasy, Thriller, Modern, Horror, Classics, read_author, Science Fiction, General, Gay, Poetry, Adventure, Romance, bookclub, Contemporary","3.46","99435","69526","195","328105","Grove Press"
"Funland","Richard Laymon","1989-01-01T03:00:00-05:00","Mystery, Crime, Thriller, Horror, Fantasy","3.79","4725","132429","573","533629","Headline Book Publishing"
"Savage","Richard Laymon","1993-01-01T03:00:00-05:00","Mystery, Historical, Crime, Adventure, Thriller, Horror","3.93","2995","150512","557","516087","Dorchester Pub Co Inc"
"After Midnight","Richard Laymon","1997-06-01T03:00:00-04:00","Suspense, Crime, Thriller, Horror, Mystery","3.85","3817","118691","521","467198","Leisure Books"
"Come Out Tonight","Richard Laymon","1999-05-01T03:00:00-04:00","Crime, Horror, Thriller, Suspense","3.79","3286","106628","527","431417","Leisure Books"
"Geosynchron","David Louis Edelman","2010-01-01T03:00:00-05:00","Science-Fiction, Science Fiction, Fantasy","3.87","581","144909","506","4853848","Pyr"
"Infoquake","David Louis Edelman","2006-07-01T03:00:00-04:00","Science Fiction, Fantasy, Science-Fiction, Thriller, War","3.67","1507","117670","412","5808632","Pyr"
"Candide","Voltaire","1759-01-01T03:03:58-04:56:02","Fiction, History, Humour, Classics, Philosophy, Historical, Adventure, Adult, Non-Fiction, Politics, Literary, General","3.76","290870","47759","145","3481809","Barnes & Noble Classics"
"The Ginger Man","J. P. Donleavy","1955-01-01T03:00:00-05:00","Fiction, General, Fiction:Humor, Literary, Coming of Age, Black Humor, Humorous, Action, Adventure","3.61","11001","104730","382","401245","Grove Press"
"A Singular Man","J. P. Donleavy","1963-01-01T03:00:00-05:00","Modern, Contemporary, Humour, Fiction","3.81","696","106933","407","332401","Atlantic Monthly Press"
"Gold Boy, Emerald Girl","Yiyun Li","2010-09-14T03:00:00-04:00","Contemporary, Fiction","3.7","2762","71735","211","265571","Random House"
"Elizabeth Street","Laurie Fabiano","2006-01-01T03:00:00-05:00","History, Historical, Crime","3.95","15638","112576","419","697358","AmazonEncore"
"Within Arm's Reach","Ann Napolitano","2004-04-30T03:00:00-04:00","Adult, Contemporary, Fiction","3.47","21785","115357","353","555961","Three Rivers Press"
"The Corrections","Jonathan Franzen","2001-09-01T03:00:00-04:00","Modern, Classics, Contemporary, Adult","3.85","198572","198941","611","578907","Farrar, Straus and Giroux"
"Hardcore Zen: Punk Rock, Monster Movies and the Truth About Reality","Brad Warner","1994-08-08T03:00:00-04:00","Religon, Biography, Spirituality, Self Help, Philosophy, Religion, Music","4.02","7110","61403","184","338598","Wisdom Publications"
"The Mango Season","Amulya Malladi","2003-06-03T03:00:00-04:00","Romance, Contemporary, Fiction","3.62","4676","74143","255","454354","Ballantine Books"
"Enshittification","Cory Doctorow","2025-10-06T20:00:00-04:00","Computers","5.0","1","94416","313","815070","MCD"
"Fifth Business","Robertson Davies","1970-01-01T03:00:00-05:00","Fiction, Adult, Literary, General, bookclub, Classics, read_author, Historical","4.06","20728","103960","295","657574","Penguin"
"J.D. Salinger: A Life","Kenneth Slawenski","2010-03-01T03:00:00-05:00","Autobiography, History, Biography, Writing","3.78","1524","161698","509","2520352","Random House"
"Spycraft","Robert Wallace & H. Keith Melton & Henry R. Schlesinger","2008-05-29T03:00:00-04:00","History, Science, Politics","3.86","1402","202622","734","2026431","Bantam"
"Alice in Quantumland: An Allegory of Quantum Physics","Robert Gilmore","1994-02-14T03:00:00-05:00","General, Science, Physics, Computers","3.83","1950","62294","198","4354451","Copernicus"
"The Island at the Center of the World","Russell Shorto","2004-01-01T03:00:00-05:00","Travel, History, Non-Fiction","4.17","11542","154357","481","693571","Vintage Books USA"
"The Copywriter","Daniel Poppick","2026-02-03T03:00:00-05:00","Fiction, Poetry, Literary, bookclub","3.57","276","38058","143","1668146","Scribner"
"The Essential Writings of Ralph Waldo Emerson","Ralph Waldo Emerson","1983-11-15T03:00:00-05:00","Spirituality, Classics, Philosophy, Poetry, History","4.37","3923","336588","875","1101310","Modern Library"
"The Jade Peony","Wayson Choy","1995-01-01T03:00:00-05:00","Historical","3.73","5643","73350","248","255262","Other Press"
"When the Devil Whistles","Rick Acker","2010-09-01T03:00:00-04:00","Crime, Thriller, Fiction:Religous, Suspense, Contemporary, Mystery","3.67","1295","86819","230","650722","Abingdon Press"
"Save Me","Lisa Scottoline","2011-04-12T03:00:00-04:00","Suspense, Adult, Mystery, Fiction:Suspense, Thriller","3.67","30373","105636","408","360909","St. Martin's Press"
"Look Again","Lisa Scottoline","2009-01-01T03:00:00-05:00","Suspense, Adult, Mystery, Fiction:Suspense, Thriller","3.9","51353","97250","366","411951","Macmillan"
"All Tomorrow's Parties","William Gibson","1999-10-25T03:00:00-04:00","Science-Fiction, Science Fiction, Fantasy, read_author","3.93","17087","85957","315","312275","Berkley Publishing Group"
"Count Zero","William Gibson","1986-01-01T03:00:00-05:00","Fiction, Science Fiction, General, Business, Economics, Science-Fiction, Hard Science Fiction, Action, Adventure, read_author","4.02","57561","84752","297","295954","Penguin"
"Mona Lisa Overdrive","William Gibson","1988-06-01T03:00:00-04:00","Science Fiction, Science, Classics, Fantasy, Thriller, Science-Fiction, read_author","4.02","46749","80737","311","291755","Random House Worlds"
"Pattern Recognition","William Gibson","2003-02-03T03:00:00-05:00","Women Sleuths, Mystery, Detective, Science Fiction, Fiction, Fantasy, Places, Europe, General, Private Investigators, Thriller, read_author","3.88","52747","99302","365","350283","Penguin"
"Closer Than Blood","Gregg Olsen","2011-01-01T03:00:00-05:00","Suspense, Crime, Fiction:Thriller, Adult, Mystery, Thriller","3.96","5475","104893","418","386385","Pinnacle"
"Victim Six","Gregg Olsen","2010-01-01T03:00:00-05:00","Suspense, Crime, Fiction:Thriller, Mystery, Thriller","3.85","9734","105479","406","796874","Pinnacle"
"In the Heart of the Canyon","Elisabeth Hyde","2009-01-01T03:00:00-05:00","Fiction, Travel, Adult, Adventure, Thriller","3.76","2005","89395","311","502760","Knopf"
