authors,title,#grscore,#votes,#pagecount,#wordcount
"Mick Herron","Dead Lions","4.12","34731","375","97323"
"Mick Herron","Real Tigers","4.29","29306","377","96799"
"Mick Herron","Spook Street","4.42","26639","364","94580"
"Adania Shibli","Minor Detail","4.19","32555","92","34370"
"Mick Herron","Bad Actors","4.37","16960","363","97704"
"Bora Chung","Cursed Bunny","3.77","34677","218","61820"
"Han Kang","Human Acts","4.26","51233","196","61511"
"Mick Herron","London Rules","4.35","23351","386","100573"
"Susan Abulhawa","Mornings in Jenin","4.5","45845","335","98235"
"Rashid Khalidi","The Hundred Years’ War on Palestine: A History of Settler-Colonial Conquest and Resistance, 1917–2017","4.49","26175","377","120263"
"Ryszard Kapuściński & Klara Glowczewska","The Shadow of the Sun","4.39","16114","319","105353"
"Mick Herron","Slough House","4.41","18989","343","90317"
"Mick Herron","The Drop & the List","4.17","1274","61","17046"
"Dan Simmons","The Rise of Endymion","4.17","61364","948","266498"
"Greg Egan","Diaspora","4.11","10412","243","92354"
"Greg Egan","Distress","3.86","2721","324","122914"
"Greg Egan","Schild's Ladder","3.94","3957","353","98938"
"Ryszard Kapuściński","The Soccer War","4.18","4327","200","64855"
"Ryszard Kapuściński","Nobody Leaves","3.78","1265","124","40388"
"Ryszard Kapuściński","Another Day of Life","4.18","5673","120","39918"
"Thomas C. Wright","The Peoples of Las Vegas: One City, Many Faces","4.0","1","351","147591"
"Debt The First 5,000 Years -Melville House (2011)","David Graeber","","","542","248839"
"R. Buckminster Fuller","Operating Manual for Spaceship Earth","4.06","1931","44","23043"
"Arthur Koestler","Darkness at Noon","4.12","32397","245","75080"
"Muriel Spark","The Prime of Miss Jean Brodie","3.7","58258","125","39398"
"Shirley Jackson","Hangsaman","3.77","10265","264","81539"
"Jacqueline Harpman","I Who Have Never Known Men","4.18","198492","170","58381"
"Andrew Sean Greer","Less","3.63","215607","233","72007"
"James Baldwin","Go Tell It on the Mountain","4.05","75743","259","83481"
"Viet Thanh Nguyen","The Sympathizer","4.01","129264","397","138454"
"D. W. Wilson","Once You Break a Knuckle","3.63","305","211","64026"
"E. L. Doctorow","Ragtime","3.89","45175","222","81474"
"The Once & Future King","The Once and Future King","","","812","239173"
"wildbow","Worm","4.61","9902","6430","1681848"
"Aldous Huxley","Point Counter Point","3.87","12017","432","172461"
"Patrick Radden Keefe","Say Nothing: A True Story of Murder and Memory in Northern Ireland","4.47","137472","612","176504"
"Mick Herron","Slow Horses","4.03","63689","401","99763"
"Dolly Alderton","Good Material","3.85","194423","339","95336"
"Percival Everett","James","4.5","261431","368","67509"
"Álvaro Enrigue","You Dreamed of Empires","3.79","8791","163","55638"
"Lore Segal","Lucinella","3.63","277","146","39556"
"Gary Indiana","Fire Season","4.01","98","355","110408"
"Miranda July","All Fours","3.54","115852","354","101453"
"Gary Indiana","Utopia's Debris: Selected Essays","4.0","45","328","106687"
"Robert A. Caro","The Passage of Power","4.39","19043","1359","391621"
"John McPhee","The Founding Fish","3.94","1171","348","117735"
"Men in the Sun & Other Palestinian Stories-Lynne Rienner Publishers (1999)","Ghassan Kanafani","","","118","37241"
"Arkady Strugatsky & Boris Strugatsky","Roadside Picnic","4.13","78665","215","65386"
"H. P. Lovecraft","The Complete H.P. Lovecraft Collection","4.34","35835","2374","771800"
"Anton Chekhov","Selected Stories of Anton Chekhov","4.37","31491","374","182177"
"William Langton & Roger Dodsworth & Christopher Towneley","Abstracts of Inquisitions Post Mortem, Made by Christopher Towneley and Roger Dodsworth: Extracted From Manuscripts at Towneley, Volume 99","0.0","0","447","138485"
"Julien Gracq","The Opposing Shore","4.02","1444","302","101564"
"Saul Bellow","Henderson the Rain King","3.76","15788","368","127459"
"Hunter S. Thompson","Fear and Loathing on the Campaign Trail '72","4.13","23805","543","165246"
"Jon Krakauer","Into Thin Air","4.25","539326","302","99186"
"Milan Kundera","The Unbearable Lightness of Being: Twentieth Anniversary Edition","4.11","512497","280","86057"
"Anya Von Bremzen","Mastering the Art of Soviet Cooking: A Memoir of Food and Longing","4.03","4624","379","107339"
"Arundhati Roy","The God of Small Things","3.96","312719","361","96908"
"Cheryl Strayed","Wild","4.06","840168","396","134016"
"James Joyce","A Portrait of the Artist as a Young Man","3.64","158886","276","84833"
"Virginia Woolf","To the Lighthouse","3.8","201724","199","71027"
"Paul Bowles","The Sheltering Sky","3.89","29589","285","97857"
"F. Scott Fitzgerald","Tender Is the Night","3.78","143572","288","129589"
"Chuck Palahniuk","Invisible Monsters","4.0","147891","372","56815"
"Miyamoto Musashi","The Book of Five Rings","3.96","57727","76","41499"
"Aleksandr Solzhenitsyn","One Day in the Life of Ivan Denisovich","3.98","120480","221","51216"
"Patrick Rothfuss","The Name of the Wind","4.52","1032261","662","257012"
"Arthur Conan Doyle","The Complete Sherlock Holmes: Volume II","4.48","81063","709","353202"
"Mario Puzo","The Godfather","4.39","445774","544","172292"
"Terry Pratchett","Men at Arms","4.41","107851","381","93863"
"Jeannette Walls","The Glass Castle","4.32","1301199","288","99720"
"Stefan Zweig & Стефан Цвайг","Chess Story","4.27","151196","104","21852"
"Terry Pratchett","Reaper Man","4.28","108137","289","79193"
"John Irving","A Prayer for Owen Meany","4.24","329509","637","236557"
"Dan Simmons","Hyperion","4.27","278240","852","169803"
"Terry Pratchett","Mort","4.24","260933","243","73852"
"Douglas Adams","The Restaurant at the End of the Universe","4.2","305185","250","53498"
"Douglas Adams","Life, the Universe and Everything","4.17","243317","224","53433"
"Michael Chabon","The Amazing Adventures of Kavalier & Clay","4.18","208118","639","222070"
"José Saramago","Blindness","4.18","316471","349","117889"
"Michael Lewis","The Blind Side","4.17","99048","339","106351"
"Stephen R. Covey","The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","4.16","789345","372","105853"
"Joe Haldeman","The Forever War","4.14","174668","322","77791"
"Umberto Eco","The Name of the Rose","4.14","382002","552","373097"
"Hermann Hesse","Steppenwolf","4.13","201740","256","75050"
"Dave Eggers","What Is the What","4.14","86050","475","197679"
"Cormac McCarthy","No Country for Old Men","4.16","225466","309","70750"
"Ray Bradbury","The Illustrated Man","4.13","103872","186","72755"
"Arthur C. Clarke","Rendezvous With Rama","4.12","176404","503","71129"
"Sebastian Junger","The Perfect Storm: A True Story of Men Against the Sea","4.11","116885","233","82406"
"Philip K. Dick","Do Androids Dream of Electric Sheep?","4.09","485079","224","63579"
"Douglas Adams","So Long, and Thanks for All the Fish","4.09","180082","167","44781"
"Isaac Asimov","The Gods Themselves","4.09","66490","331","88394"
