authors,title,#grscore,#votes,#pagecount,#wordcount
"Hannelore Brenner","The Girls of Room 28: Friendship, Hope, and Survival in Theresienstadt","3.84","967","274","115318"
"Norris Church Mailer","A Ticket to the Circus: A Memoir","3.51","673","398","154702"
"Gerald Martin","Gabriel García Márquez: A Life","4.2","1666","684","272481"
"Simon Dixon","Catherine the Great","3.67","496","495","187296"
"Laura Ling & Lisa Ling","Somewhere Inside: One Sister's Captivity in North Korea and the Other's Fight to Bring Her Home","4.05","5097","327","105246"
"Howard Bryant","The Last Hero: A Life of Henry Aaron","4.14","1881","616","211641"
"Daniel H. Pink","A Whole New Mind: Why Right-Brainers Will Rule the Future","3.92","29468","202","63117"
"Daniel H. Pink","Drive: The Surprising Truth About What Motivates Us","3.95","122675","154","53974"
"Cody Lundin","98.6 Degrees: The Art of Keeping Your Ass Alive","4.03","1241","181","65265"
"Brian Holden Reid & John Keegan","The American Civil War and the Wars of the Industrial Revolution","3.51","85","429","152180"
"Joe Torre & Tom Verducci","The Yankee Years","3.88","8456","532","170330"
"Kevin Malarkey & Alex Malarkey","The Boy Who Came Back From Heaven: A Remarkable Account of Miracles, Angels, and Life Beyond This World","3.87","10839","167","62847"
"C. J. Chivers","The Gun","3.99","2192","506","201416"
"James M. Tabor","Blind Descent: The Quest to Discover the Deepest Place on Earth","3.72","4014","282","90592"
"Tom Sharpe","Riotous Assembly","4.07","4287","239","70358"
"Tom Sharpe","Indecent Exposure","4.12","3010","296","81668"
"Tom Sharpe","Blott on the Landscape","3.92","4026","273","79165"
"Tom Sharpe","The Throwback","3.91","2808","272","83804"
"Tom Sharpe","Wilt","3.95","14388","267","75086"
"Tom Sharpe","Vintage Stuff","3.81","2241","262","76360"
"Tom Sharpe","The Wilt Alternative","3.89","4130","260","73760"
"Tom Sharpe","The Great Pursuit","3.7","1494","314","88155"
"Tom Sharpe","Wilt on High","3.87","3187","287","82866"
"Tom Sharpe","Porterhouse Blue","3.81","4808","256","76078"
"Tom Sharpe","Wilt in Nowhere","3.65","2021","198","61213"
"Tom Sharpe","Grantchester Grind","3.58","1387","379","118058"
"Holger H. Herwig","The Marne, 1914: The Opening of World War I and the Battle That Changed the World","3.84","700","440","139128"
"Henry M. Paulson Jr.","On the Brink","3.79","3087","468","146327"
"Ben Macintyre","Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory","4.03","22043","420","131572"
"John Bemelmans Marciano","Anonyponymous: The Forgotten People Behind Everyday Words","3.52","417","94","27699"
"Barb Hendee & J. C. Hendee","Child of a Dead God","4.08","2870","564","140516"
"Barb Hendee & J. C. Hendee","In Shade and Shadow","3.93","1763","515","131877"
"Barb Hendee & J. C. Hendee","Traitor to the Blood","3.98","3760","463","125530"
"Barb Hendee & J. C. Hendee","Through Stone and Sea","4.0","1372","579","145297"
"Barb Hendee & J. C. Hendee","Rebel Fay","4.03","3288","518","129659"
"David Archuleta & Monica Haim","Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance","4.09","795","182","71434"
"Peter Ackroyd","Albion: The Origins of the English Imagination","3.72","595","563","172351"
"Brian Herbert & Kevin J. Anderson","House Corrino","3.76","18448","648","178052"
"Brian Herbert & Kevin J. Anderson","The Machine Crusade","3.81","17205","842","236823"
"Brian Herbert & Kevin J. Anderson","House Harkonnen","3.75","19757","754","208642"
"Brian Herbert & Kevin J. Anderson","Paul of Dune","3.74","9400","538","158813"
"Brian Herbert & Kevin J. Anderson","The Butlerian Jihad","3.99","77418","706","189866"
"Brian Herbert & Kevin J. Anderson","Dune: House Atreides","3.99","77418","728","205202"
"Brian Herbert & Kevin J. Anderson","The Winds of Dune","3.8","8938","506","137296"
"Brian Herbert & Kevin J. Anderson","The Battle of Corrin","3.81","15145","728","204453"
"David Sedaris","SantaLand Diaries","4.32","46619","26","10471"
"David Sedaris","Barrel Fever","3.79","55682","197","65247"
"Alexandre Dumas","The Count of Monte Cristo","4.31","976059","693","199188"
"Alexandre Dumas","Louise de la Valliere","3.91","4707","626","167253"
"Jodi Picoult","Second Glance","3.8","49532","526","155160"
"Jodi Picoult","My Sister's Keeper","4.1","1255272","296","120471"
"Dana Stabenow","Blindfold Game","3.78","1173","312","86263"
"Dana Stabenow","Whisper to the Blood","4.17","3814","374","105108"
"Dana Stabenow","So Sure of Death","4.09","2612","338","92849"
"Dana Stabenow","Prepared for Rage","3.78","1015","359","98856"
"Dana Stabenow","Breakup","4.29","5191","430","77595"
"Dana Stabenow","The Singing of the Dead","4.21","3484","311","84476"
"Dana Stabenow","Nothing Gold Can Stay","4.16","2608","306","84536"
"Dana Stabenow","A Grave Denied","4.33","4320","345","96413"
"Dana Stabenow","A Taint in the Blood","4.24","4240","343","93044"
"Dana Stabenow","Midnight Come Again","4.3","4326","324","88833"
"Dana Stabenow","Fire and Ice","3.86","5932","327","91949"
"Dana Stabenow","A Cold Day for Murder","3.76","17206","196","54019"
"Lee Child","Persuader","4.14","99512","509","136945"
"Lee Child","Die Trying","4.07","157362","520","137376"
"Lee Child","Echo Burning","4.05","102338","530","135799"
"Lee Child","Gone Tomorrow","4.19","111443","455","117194"
"Lee Child","Bad Luck and Trouble","4.22","99641","447","107384"
"Lee Child","The Enemy","4.17","141640","506","132614"
"Lee Child","The Hard Way","4.2","89673","436","108169"
"Lee Child","61 Hours","4.13","96641","442","111001"
"Lee Child","Tripwire","4.12","135867","526","147229"
"Lee Child","Killing Floor","4.08","339239","496","145455"
"Lee Child","Nothing to Lose","3.93","75272","468","115764"
"Lee Child","Running Blind","4.13","118047","505","124532"
"Lee Child","One Shot","4.24","121686","442","114380"
"Lee Child","Without Fail","4.16","114336","492","131438"
"Henning Mankell","Chronicler of the Winds","3.9","2786","186","74503"
"Henning Mankell","The Eye of the Leopard","3.68","2035","241","93541"
"Peter Straub","The Hellfire Club","3.75","7268","661","187384"
"Peter Straub","Shadowland","3.89","12529","552","158763"
"Peter Straub","Mr. X","3.62","4484","652","187552"
"Peter Straub","Ghost Story","3.92","81215","627","182559"
"Peter Straub","Mystery","3.96","4309","603","177739"
"Peter Straub","Magic Terror: 7 Tales","3.57","1224","414","132519"
"Susan Casey","The Wave: In Pursuit of the Rogues, Freaks, and Giants of the Ocean","4.04","11236","312","100611"
"Gregory Maguire","Son of a Witch","3.51","67573","387","112850"
"Michael Connelly","The Reversal","4.21","84916","431","109379"
"Michael Connelly","City of Bones","4.13","60643","416","104638"
"Michael Connelly","The Lincoln Lawyer","4.22","247825","477","127157"
"Michael Connelly","The Concrete Blonde","4.23","75869","481","129730"
"Michael Connelly","The Black Echo","4.14","209080","471","142953"
"Michael Connelly","Lost Light","4.22","65884","426","115722"
"Michael Connelly","The Scarecrow","4.1","53672","431","119086"
"Michael Connelly","The Brass Verdict","4.22","90181","458","121771"
"Michael Connelly","Trunk Music","4.21","74184","489","132261"
"Michael Connelly","The Black Ice","4.12","90244","396","114776"
"Michael Connelly","The Last Coyote","4.26","81535","455","125137"
"Michael Connelly","The Poet","4.23","105781","548","155875"
"Michael Connelly","Echo Park","4.18","65417","390","104414"
"Andy Warhol","The Andy Warhol Diaries","3.93","3045","1350","448618"
"Brandon Sanderson","The Hero of Ages","4.55","521583","857","242383"
"Brandon Sanderson","The Well of Ascension","4.38","577161","954","254726"
"Brandon Sanderson","Mistborn","4.49","856686","804","215036"
"Brandon Sanderson","The Way of Kings","4.67","601798","1427","385535"
"David Baldacci","Simple Genius","4.01","47097","417","114699"
"Don Pendleton","San Diego Siege","3.9","402","156","39121"
"Don Pendleton","Jersey Guns","3.86","393","152","38933"
"Don Pendleton","Assault on Soho","3.85","653","174","49051"
"Don Pendleton","Nightmare in New York","3.94","617","156","46182"
"Don Pendleton","Chicago Wipe-Out","3.81","548","157","44119"
"Don Pendleton","Washington I.O.U.","3.93","456","152","38942"
"Don Pendleton","Texas Storm","3.84","405","157","40001"
"Don Pendleton","New Orleans Knockout","3.79","329","159","41035"
"Don Pendleton","California Hit","3.87","476","172","43711"
"Don Pendleton","Battle Mask","3.91","885","164","45805"
"Don Pendleton","War Against the Mafia","3.8","2212","187","52919"
"Michael Newton","Frontier Fury","3.97","38","204","52004"
"Don Pendleton","Death Squad","3.84","1109","181","49325"
"Don Pendleton","Boston Blitz","4.02","583","172","44992"
"Don Pendleton","Panic in Philly","3.96","383","158","39936"
"Don Pendleton","Detroit Deathwatch","3.9","380","158","38846"
"Don Pendleton","Continental Contract","3.85","680","159","47805"
"Don Pendleton","Caribbean Kill","3.91","668","163","42159"
"Don Pendleton","Miami Massacre","3.9","844","170","48946"
"Orson Scott Card","The Crystal City","3.63","11553","274","111329"
"Orson Scott Card","Alvin Journeyman","3.76","16301","339","135972"
"Orson Scott Card","Seventh Son","3.87","36844","204","81945"
"Orson Scott Card","Red Prophet","3.81","21271","272","108518"
"Orson Scott Card","Heartfire","3.73","13403","261","103011"
"Orson Scott Card","Shadow of the Giant","4.01","55654","285","107646"
"Orson Scott Card","First Meetings in Ender's Universe","3.85","14317","125","49201"
"Orson Scott Card","Ender in Exile","3.92","52346","326","127952"
"Orson Scott Card","Ender's Shadow","4.32","176923","468","142298"
"Orson Scott Card","Shadow Puppets","3.9","61144","380","98270"
"Orson Scott Card","Prentice Alvin","3.81","18708","310","126205"
"Orson Scott Card","Pathfinder","4.01","24630","633","177549"
"David Eddings","King of the Murgos","4.11","56016","516","137409"
"David Eddings","Queen of Sorcery","4.15","75595","410","105954"
"David Eddings","Guardians of the West","4.11","54965","506","132498"
"David Eddings","Demon Lord of Karanda","4.07","43480","469","123770"
"David Eddings","Sorceress of Darshiva","4.11","47464","445","114650"
"David Eddings","Enchanters' End Game","4.19","94663","426","116344"
"David Eddings","Castle of Wizardry","4.18","78470","440","119325"
"J. Randy Taraborrelli","The Secret Life of Marilyn Monroe","4.08","5388","549","194499"
"Alexander McCall Smith","The Unbearable Lightness of Scones: A 44 Scotland Street Novel (5)","3.98","8521","381","111682"
"Alexander McCall Smith","The Dog Who Came in From the Cold","3.78","4800","316","91828"
"Alexander McCall Smith","Corduroy Mansions","3.61","8227","394","113885"
"Alexander McCall Smith","La's Orchestra Saves the World","3.7","6840","220","67378"
"Aesop","Aesop's Fables","4.05","127886","172","53902"
"Jane Goodall & Thane Maynard","Hope for Animals and Their World: How Endangered Species Are Being Rescued From the Brink","4.16","1377","353","124205"
"David Sherman & Dan Cragg","A World of Hurt","3.9","492","367","109262"
"David Sherman & Dan Cragg","Technokill","3.85","766","360","108982"
"David Sherman & Dan Cragg","Kingdom's Fury","3.92","608","350","107739"
"David Sherman & Dan Cragg","Firestorm","4.01","476","348","103384"
"David Sherman & Dan Cragg","School of Fire","3.87","1066","367","113328"
"David Sherman & Dan Cragg","Blood Contact","3.93","982","361","108824"
"David Sherman & Dan Cragg","Pointblank","3.97","260","372","111843"
"David Sherman & Dan Cragg","Hangfire","3.89","684","348","106352"
"David Sherman & Dan Cragg","Flashfire","3.98","525","367","109131"
"David Sherman & Dan Cragg","Wings of Hell","3.94","436","378","109884"
"David Sherman & Dan Cragg","Steel Gauntlet","3.93","858","364","110244"
"David Sherman & Dan Cragg","Lazarus Rising","3.93","747","371","110538"
"David Sherman & Dan Cragg","Double Jeopardy","4.02","427","362","109735"
"David Sherman & Dan Cragg","Backshot","3.82","318","354","101558"
"David Sherman & Dan Cragg","Recoil","3.98","217","370","109074"
"David Sherman & Dan Cragg","Kingdom's Swords","3.92","652","375","112482"
"Neal Stephenson","Quicksilver","3.93","45962","1178","393203"
"Neal Stephenson","The System of the World","4.33","22751","1199","388692"
"Neal Stephenson","Zodiac","3.74","20153","261","102093"
"Neal Stephenson","In the Beginning...Was the Command Line","3.81","8063","113","37782"
"Neal Stephenson","Cryptonomicon","4.23","115071","1321","407502"
"Neal Stephenson","The Confusion","4.27","24928","1020","343341"
"Wes Moore","The Other Wes Moore: One Name, Two Fates","3.87","55995","186","67684"
"Nathanael West","The Day of the Locust","","","177","48773"
"Joseph Conrad","Nostromo","3.81","17471","520","171050"
"T. Kingfisher","A Wizard’s Guide to Defensive Baking","4.07","57223","306","81666"
"Sinclair Lewis","Dodsworth (Hardback)","","","447","138485"
"John McPhee","Draft No. 4: On the Writing Process","4.09","4132","208","55900"
"John McPhee & William L. Howarth","The John McPhee Reader","4.43","736","385","177053"
"Han Kang","The Vegetarian","3.64","283712","192","51712"
"Dan Simmons","Endymion","4.19","66806","468","199207"
"John McPhee","Oranges","4.04","3674","170","39954"
"John McPhee","The Crofter and the Laird","4.05","1173","160","36024"
"Neal Stephenson","The Diamond Age: Or, a Young Lady's Illustrated Primer","4.16","91974","499","187931"
"Douglas Adams","The Hitchhiker's Guide to the Galaxy","","","216","46894"
"John McPhee","The Pine Barrens","4.19","3933","157","39733"
"Chinua Achebe","No Longer at Ease","","","157","48586"
"Unknown","Arrow of God","","","293","89365"
"David Graeber","Fragments of an Anarchist Anthropology","4.22","3241","79","26346"
"Richard Stark","The Hunter","3.99","13810","165","45931"
"David Graeber","Revolutions in Reverse: Essays on Politics, Violence, Art, and Imagination","3.9","444","129","41863"
"Charles Stross","Glasshouse","3.88","11550","397","122760"
"Richard Stark","Comeback","4.1","1865","193","54867"
"Richard Stark","Deadly Edge","4.11","1789","183","53260"
"Richard Stark & Lucy Sante","The Rare Coin Score","4.03","2112","147","39402"
"Richard Stark","The Jugger","4.0","2805","153","42343"
"Richard Stark","The Score","4.08","3792","166","42062"
"Richard Stark","Plunder Squad","4.05","1621","188","52152"
"Richard Stark","The Green Eagle Score: A Parker Novel","","","175","48858"
"Richard Stark","The Black Ice Score","3.85","1931","148","39135"
"Richard Stark","Firebreak","3.93","1484","226","61268"
"Richard Stark","The Split","4.07","2588","159","44549"
"Richard Stark","Ask the Parrot","3.9","1636","203","55798"
"Richard Stark","Nobody Runs Forever","4.0","1356","220","60403"
"Richard Stark","Backflash","4.1","2060","221","63286"
"Richard Stark","Butcher's Moon","4.42","1928","345","96856"
"Richard Stark","The Mourner","3.94","3455","154","43630"
"Richard Stark","Dirty Money","3.93","1429","135","51234"
"Richard Stark","The Handle","3.96","2266","166","45106"
"Richard Stark","The Sour Lemon Score","4.08","2202","154","42559"
"Richard Stark","Breakout","4.08","1673","220","59768"
"Richard Stark","The Man With the Getaway Face","3.99","6268","158","45310"
"Richard Stark","Slayground","4.19","2194","165","50358"
"Agatha Christie","Elephants Can Remember","3.66","46519","210","60669"
"Adam Mitzner","A Conflict of Interest","3.99","3235","403","115173"
"Agatha Christie","The Man in the Brown Suit","3.95","120128","266","75785"
"Zoë Sharp","Fifth Victim","4.19","820","160","35482"
"Zoë Sharp","Third Strike","4.18","811","401","113991"
"Zoë Sharp","First Drop","4.07","1061","284","124564"
"Zoë Sharp","Road Kill","4.22","659","628","138510"
"Zoë Sharp","Fourth Day","4.06","808","390","110444"
"Zoë Sharp","Fifth Victim","4.19","820","390","111481"
"Zoë Sharp","Killer Instinct","3.84","1853","269","117642"
"Zoë Sharp","Hard Knocks","4.29","876","281","121956"
"Zoë Sharp","Riot Act","4.11","950","289","125339"
"Zoë Sharp","Second Shot","4.13","906","365","107705"
"Yrsa Sigurdardottir","Ashes to Dust","3.71","5402","495","135143"
"Yrsa Sigurdardottir & Yrsa Sigurdardóttir","My Soul to Take","3.75","8084","388","117431"
"Yrsa Sigurdardottir & Yrsa Sigurdardóttir","Last Rituals","3.59","11699","253","106848"
"Yrsa Sigurdardottir","The Day Is Dark: Thora Gudmundsdottir Book 4","3.69","4670","370","123053"
"Will Adams","Lost Labyrinth","3.68","1331","383","110313"
"Will Adams","The Eden Legacy","3.66","970","329","99358"
"Will Adams","The Exodus Quest","3.71","3325","366","98518"
"Will Adams","The Alexander Cipher","3.6","7186","374","101224"
"Vince Flynn","Term Limits","4.33","37719","519","158716"
"Vince Flynn","Protect and Defend","4.36","43532","345","101858"
"Vince Flynn","Separation of Power","4.33","50616","443","130349"
"Vince Flynn","The Third Option","4.28","49077","422","123246"
"Vince Flynn","Executive Power","4.32","48321","479","129851"
"Vince Flynn","Pursuit of Honor","4.36","45618","287","125187"
"Vince Flynn","Memorial Day","4.33","51588","479","133141"
"Vince Flynn","Transfer of Power","4.34","58744","544","164368"
"Vince Flynn","Kill Shot","4.32","58136","370","113238"
"Vince Flynn","Consent to Kill","4.4","51687","556","170425"
"Vince Flynn","American Assassin","4.25","98120","399","121071"
"Vince Flynn","Act of Treason","4.32","53204","391","113528"
"Veronica Roth","Insurgent","3.97","1586024","398","107628"
"Tom Clancy","Red Storm Rising","4.21","83318","978","266377"
"Tricia Rayburn","Siren","3.67","8425","210","82620"
"Veronica Roth","Divergent","4.14","4255024","379","106913"
"Tom Clancy & Peter Telep","Against All Enemies","4.0","13291","640","179385"
"Tom Clancy","The Sum of All Fears","4.08","65371","1629","329912"
"Tom Clancy","Red Rabbit","3.75","33829","760","221918"
"Tom Clancy","Without Remorse","4.22","75047","865","251473"
"Tom Clancy","The Cardinal of the Kremlin","4.1","59340","698","198505"
"Tom Clancy","Clear and Present Danger","4.14","142488","914","266592"
"Tom Clancy","Patriot Games","4.16","211423","697","198656"
"Tom Clancy","Debt of Honor","4.1","51023","1160","335981"
"Tom Clancy","Executive Orders","4.12","52752","1600","459647"
"Tom Clancy","The Bear and the Dragon","3.91","31234","1336","381032"
"Tom Clancy & Grant Blackwood","Dead or Alive","3.91","19825","822","213857"
"Tom Clancy","The Teeth of the Tiger","3.75","27698","554","149639"
"Tom Clancy","The Hunt for Red October","4.12","384015","594","163811"
"Tom Clancy & Mark Greaney","Locked On","4.11","16812","688","192847"
"Tom Clancy","Rainbow Six","4.13","56876","1088","304301"
"Timothy Hallinan","A Nail Through the Heart","3.88","1857","373","99764"
"Timothy Hallinan","The Queen of Patpong","4.15","881","398","114096"
"Timothy Hallinan","Breathing Water","4.07","712","405","111421"
"Timothy Hallinan","The Fourth Watcher","3.99","860","366","100703"
"Thomas Harris","Red Dragon","4.07","358774","422","104594"
"Thomas Harris","Hannibal Rising","3.56","51748","240","66927"
"Tess Gerritsen","The Mephisto Club","4.03","49467","390","99501"
"Tess Gerritsen","Body Double","4.19","61278","399","102367"
"Tess Gerritsen","The Apprentice","4.14","69731","492","94644"
"Tess Gerritsen","Whistleblower","3.62","7332","269","67812"
"Tess Gerritsen","Ice Cold","4.19","50831","369","95013"
"Tess Gerritsen","Vanish","4.15","70606","377","94154"
"Tess Gerritsen","The Silent Girl","4.15","44341","356","94936"
"Tess Gerritsen","The Keepsake","4.12","46838","353","91242"
"Tess Gerritsen","The Surgeon","4.1","171429","377","98400"
"Tess Gerritsen","The Sinner","4.14","60950","365","91789"
"Ted Dekker","Black: The Birth of Evil","4.18","36328","322","128816"
"Ted Dekker","Green: The Beginning and the End","4.01","25190","460","120408"
"Ted Dekker","White: The Great Pursuit","4.28","32625","271","111921"
"Ted Dekker","The Priest's Graveyard","3.86","7142","359","98719"
"Ted Dekker","The Bride Collector","3.85","12552","442","117061"
"Ted Dekker","Thr3e","4.07","36621","394","102551"
"Ted Dekker","BoneMan's Daughters","3.77","14281","390","102275"
"Ted Dekker","Red","4.28","29319","288","124698"
"Tami Hoag","Dark Horse","3.84","11411","531","140407"
"Tami Hoag","A Thin Dark Line","4.02","11499","648","178955"
"Tami Hoag","Deeper Than the Dead","4.1","29266","512","130003"
"Tami Hoag","Still Waters","3.85","7588","518","156495"
"Tami Hoag","Dust to Dust","3.99","14819","491","129485"
"Tami Hoag","Lucky's Lady","3.95","7169","375","111769"
"Tami Hoag","Prior Bad Acts","4.12","17868","429","111886"
"Tami Hoag","Cry Wolf","3.9","6656","627","183348"
"Tami Hoag","Down the Darkest Road","4.06","18044","411","110138"
"Tami Hoag","Kill the Messenger","3.87","10402","455","122004"
"Tami Hoag","Ashes to Ashes","4.05","61157","611","168028"
"Tami Hoag","The Alibi Man","3.86","9791","368","93387"
"Suzanne Collins","The Hunger Games","4.34","9480119","315","100160"
"Suzanne Collins","Mockingjay","4.11","3540181","327","101217"
"Suzanne Collins","Catching Fire","4.35","3950971","323","102067"
"Sue Grafton","I Is for Innocent","3.97","36645","299","88958"
"Sue Grafton","P Is for Peril","3.89","29600","384","113900"
"Sue Grafton","O Is for Outlaw","3.97","30790","346","103457"
"Sue Grafton","C Is for Corpse","3.93","54513","253","76266"
"Sue Grafton","V Is for Vengeance","4.0","33302","491","145496"
"Sue Grafton","T Is for Trespass","3.99","31124","416","125153"
"Sue Grafton","A Is for Alibi","3.86","189507","250","76694"
"Sue Grafton","R Is for Ricochet","3.98","36315","387","111305"
"Sue Grafton","B Is for Burglar","3.88","59263","257","80431"
"Sue Grafton","J Is for Judgment","4.03","56109","317","97217"
"Sue Grafton","U Is for Undertow","4.01","33448","447","130673"
"Sue Grafton","H Is for Homicide","3.94","37449","258","81187"
"Sue Grafton","F Is for Fugitive","3.95","40704","248","72685"
"Sue Grafton","L Is for Lawless","3.94","35097","307","93625"
"Sue Grafton","G Is for Gumshoe","3.96","38713","285","85807"
"Sue Grafton","M Is for Malice","4.1","72090","330","99143"
"Sue Grafton","S Is for Silence","3.95","30452","398","118917"
"Sue Grafton","Q Is for Quarry","3.97","30380","420","122559"
"Sue Grafton","E Is for Evidence","3.94","41380","277","67412"
"Sue Grafton","N Is for Noose","3.99","38100","296","90191"
"Sue Grafton","D Is for Deadbeat","3.89","44680","240","71171"
"Sue Grafton","K Is for Killer","3.98","44759","324","97112"
"Stuart MacBride","Dark Blood","4.12","6783","521","125821"
"Stuart MacBride","Broken Skin","4.17","10132","444","125996"
"Stuart MacBride","Shatter the Bones","4.21","6839","473","116270"
"Stuart MacBride","Blind Eye","4.13","8478","407","135385"
"Stuart MacBride","Dying Light","4.09","11782","394","121420"
"Stuart MacBride","Cold Granite","4.07","22548","463","129012"
"Stuart MacBride","Flesh House","4.12","9322","353","116730"
"Steve Berry","The Balkan Escape","3.71","4709","35","8040"
"Steve Berry","The Alexandria Link","3.94","43148","527","121022"
"Steve Berry","The Paris Vendetta","3.94","19625","471","110955"
"Steve Berry","The Romanov Prophecy","3.95","24868","417","110896"
"Steve Berry","The Devil's Gold","3.9","4600","64","15945"
"Steve Berry","The Jefferson Key","3.92","21890","487","115288"
"Steve Berry","The Emperor's Tomb","3.97","21234","488","115623"
"Steve Berry","The Third Secret","3.89","16675","410","107063"
"Steve Berry","The Templar Legacy","3.84","55606","548","136602"
"Steve Berry","The Columbus Affair","3.81","12814","491","120139"
"Steve Berry","The Amber Room","3.87","26020","447","111476"
"Stephenie Meyer","Huésped","3.86","1036908","784","203795"
"Steve Berry","The Venetian Betrayal","3.97","28331","523","118068"
"Steve Berry","The Admiral's Mark","3.82","2885","63","14637"
"Stephenie Meyer","New Moon","3.61","2061391","534","139733"
"Stephenie Meyer","Eclipse","3.74","1933954","620","155166"
"Stephenie Meyer","Twilight","3.67","7068985","486","124858"
"Stephenie Meyer","Breaking Dawn","3.75","1819581","746","193944"
"Stephenie Meyer","The Short Second Life of Bree Tanner","3.52","235933","143","40215"
"Stephen W. Frey","The Legacy","3.77","934","350","98906"
"Stephen W. Frey","Shadow Account","3.59","631","373","97400"
"Stephen W. Frey","The Successor","3.73","740","363","106326"
"Stephen W. Frey","The Insider","3.68","782","368","101390"
"Stephen W. Frey","The Inner Sanctum","3.68","594","377","103386"
"Stephen W. Frey","The Protégé","3.92","1267","421","103356"
"Stephen W. Frey","The Chairman","3.99","2738","415","100454"
"Stephen W. Frey","The Power Broker","3.78","1051","388","103566"
"Simon Kernick","Siege","4.15","2876","337","98037"
"Simon Kernick","Deadline","4.05","3323","247","95606"
"Simon Kernick","A Good Day to Die","4.09","1971","332","102543"
"Simon Kernick","The Payback","4.13","2133","309","94553"
"Simon Kernick","The Business of Dying","4.01","2757","351","104203"
"Seth Grahame-Smith","Unholy Night","3.83","8466","297","88420"
"Seth Grahame-Smith & Jane Austen","Pride and Prejudice and Zombies","3.32","141205","330","103851"
"Sean Black","Deadlock","","","320","84004"
"Sean Black","Gridlock","","","277","78689"
"Sean Black","Lockdown","3.88","3242","336","82861"
"Scott Mariani","The Doomsday Prophecy","4.04","4573","411","109519"
"Otto Penzler","The Best American Mystery Stories 2006","","","627","139156"
"Scott Mariani","The Heretic's Treasure (Ben Hope, Book 4)","4.08","4012","396","110028"
"Scott Mariani","The Lost Relic","4.17","3734","402","115804"
"Scott Mariani","The Shadow Project","4.16","3997","395","111081"
"Scott Mariani","The Alchemist's Secret","3.98","10576","368","105697"
"Scott G. Mariani","The Cross","4.12","959","393","110999"
"Scott Mariani","The Mozart Conspiracy","3.94","6456","379","105108"
"Scott G. Mariani","Uprising","3.95","1585","409","108686"
"S. J. Parris","Sacrilege","4.07","5485","485","152232"
"Robin Burcell","Face of a Killer","3.82","652","322","120704"
"Robin Burcell","The Bone Chamber","3.76","939","441","120490"
"Robert Ferrigno","Heart of the Assassin","3.9","486","448","120500"
"Robert Ferrigno","Prayers for the Assassin: A Novel","","","500","143235"
"Robert Crais","The Watchman","4.14","27724","343","82706"
"Robert Ferrigno","Sins of the Assassin","3.93","615","491","136180"
"Robert Crais","The Last Detective","4.27","20258","353","87566"
"Robert Crais","Voodoo River","4.18","15981","314","89375"
"Robert Crais","Taken","4.22","20590","323","76839"
"Robert Crais","Chasing Darkness","4.23","19571","309","74333"
"Robert Crais","L.A. Requiem","4.31","21898","492","124036"
"Robert Crais","Free Fall","4.19","15838","280","79033"
"Robert Crais","Lullaby Town","4.16","14731","296","82345"
"Robert Crais","Sunset Express","4.21","17508","335","91572"
"Robert Crais","Hostage","4.08","10116","427","101332"
"Robert Crais","Indigo Slam","4.21","15874","300","81334"
"Robert Crais","The Monkey's Raincoat","4.01","30340","259","72374"
"Robert Crais","Stalking the Angel","4.04","17790","228","65787"
"Robert Crais","The First Rule","","","321","77464"
"Robert Crais","The Forgotten Man","4.17","15731","332","84658"
"Robert Crais","The Two Minute Rule","4.08","12341","380","96007"
"Robert B. Parker","Stranger in Paradise","4.01","9175","255","46881"
"Michael Brandman","Robert B. Parker's Killing the Blues","","","236","42102"
"Robert B. Parker","Sea Change","3.98","9407","266","48796"
"Robert B. Parker","Trouble in Paradise","4.02","9886","300","59651"
"Robert B. Parker","Night Passage","4.11","14883","311","71448"
"Robert B. Parker","High Profile","3.92","9427","253","44982"
"Robert B. Parker","Death in Paradise","3.99","9520","258","47893"
"Robert B. Parker","Stone Cold","4.03","8935","282","53648"
"Robert B. Parker","Split Image","3.97","10860","258","44180"
"Rick Riordan","The Titan's Curse","4.37","1166698","310","77484"
"Rick Riordan","The Last Olympian","4.55","1104033","367","93702"
"Rick Riordan","The Lightning Thief","4.31","3303020","342","86189"
"Rick Riordan","Percy Jackson and the Sea of Monsters","4.24","1303409","265","67109"
"Rick Riordan","The Battle of the Labyrinth","4.42","1177018","340","85932"
"Rick Riordan","The Demigod Files","4.02","120169","113","28608"
"Richard North Patterson","Exile","4.04","4600","715","199320"
"Richard North Patterson","The Spire","3.74","3159","388","102380"
"Richard North Patterson","The Final Judgment","4.02","5846","428","134417"
"Richard North Patterson","Degree of Guilt","4.03","10275","726","184515"
"Richard North Patterson","Balance of Power","3.93","2435","824","201971"
"Richard North Patterson","In the Name of Honor","3.94","2880","508","134709"
"Richard North Patterson","Conviction","3.9","3013","575","148071"
"Richard North Patterson","The Race","3.75","2609","433","118270"
"Richard North Patterson","No Safe Place","3.86","3359","626","162511"
"R. D. Wingfield","A Killing Frost","4.18","3263","498","131737"
"R. D. Wingfield","Night Frost","4.16","3159","447","122181"
"R. D. Wingfield","Frost at Christmas","4.07","4981","321","87803"
"R. D. Wingfield","A Touch of Frost","4.12","3874","446","122203"
"R. D. Wingfield","Winter Frost","4.14","2643","572","143968"
"R. D. Wingfield","Hard Frost","4.14","2854","503","134931"
